Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.24,-.30,-.06,-.16,-.18,-.26,-.23,-.32,-.44,-.40,-.29,***,***,-.20,-.20,-.33
1881,-.31,-.22,-.03,.00,.04,-.32,.09,-.03,-.26,-.43,-.37,-.23,-.17,-.19,-.31,.00,-.09,-.35
1882,.27,.22,.03,-.31,-.24,-.29,-.26,-.14,-.24,-.51,-.32,-.68,-.20,-.17,.09,-.17,-.23,-.36
1883,-.57,-.65,-.15,-.29,-.25,-.10,-.05,-.21,-.32,-.15,-.45,-.15,-.28,-.32,-.63,-.23,-.12,-.31
1884,-.17,-.11,-.64,-.60,-.37,-.41,-.45,-.50,-.45,-.45,-.57,-.47,-.43,-.41,-.14,-.54,-.45,-.49
1885,-1.01,-.45,-.23,-.48,-.57,-.44,-.32,-.39,-.38,-.35,-.37,-.09,-.42,-.46,-.64,-.43,-.38,-.37
1886,-.72,-.82,-.70,-.36,-.32,-.36,-.13,-.41,-.31,-.30,-.38,-.20,-.42,-.41,-.55,-.46,-.30,-.33
1887,-1.06,-.69,-.42,-.37,-.24,-.18,-.22,-.52,-.19,-.47,-.26,-.43,-.42,-.40,-.65,-.34,-.31,-.30
1888,-.47,-.58,-.61,-.20,-.14,-.01,.02,-.19,-.18,-.02,.01,-.23,-.22,-.23,-.49,-.32,-.06,-.06
1889,-.26,.32,-.01,.17,-.03,-.06,-.06,-.19,-.29,-.41,-.61,-.54,-.17,-.14,-.06,.04,-.11,-.44
1890,-.63,-.59,-.47,-.24,-.36,-.15,-.22,-.38,-.34,-.09,-.63,-.46,-.38,-.39,-.59,-.36,-.25,-.35
1891,-.45,-.68,-.15,-.34,-.15,-.11,-.11,-.11,-.06,-.27,-.52,-.02,-.25,-.28,-.53,-.21,-.11,-.28
1892,-.48,-.14,-.65,-.44,-.22,-.04,-.36,-.31,-.18,-.26,-.81,-.64,-.38,-.33,-.21,-.44,-.24,-.42
1893,-1.49,-.94,-.31,-.28,-.43,-.18,-.13,-.33,-.28,-.27,-.33,-.61,-.47,-.47,-1.02,-.34,-.21,-.29
1894,-.89,-.40,-.19,-.52,-.24,-.39,-.19,-.25,-.31,-.25,-.46,-.34,-.37,-.39,-.63,-.32,-.28,-.34
1895,-.68,-.79,-.47,-.17,-.29,-.19,-.16,-.26,-.04,-.07,-.11,-.21,-.29,-.30,-.61,-.31,-.20,-.07
1896,-.34,-.16,-.47,-.58,-.16,.09,.02,-.09,-.11,.07,-.19,-.20,-.18,-.18,-.24,-.40,.01,-.08
1897,-.38,-.41,-.38,-.04,.15,-.04,.06,-.05,-.04,-.13,-.26,-.28,-.15,-.14,-.33,-.09,-.01,-.14
1898,.08,-.42,-.76,-.24,-.24,-.05,-.09,-.14,-.15,-.35,-.47,-.25,-.26,-.26,-.21,-.41,-.09,-.32
1899,-.11,-.63,-.58,-.23,-.24,-.35,-.15,-.04,-.02,.05,.37,-.44,-.20,-.18,-.33,-.35,-.18,.13
1900,-.59,-.11,.08,-.08,-.02,-.08,-.10,-.07,.00,.25,-.10,.00,-.07,-.11,-.38,-.01,-.08,.05
1901,-.34,-.08,.28,.12,-.11,.03,.03,-.14,-.26,-.31,-.21,-.41,-.12,-.08,-.14,.10,-.03,-.26
1902,-.18,.02,-.38,-.37,-.38,-.38,-.33,-.27,-.33,-.30,-.45,-.60,-.33,-.31,-.19,-.38,-.33,-.36
1903,-.21,.12,-.14,-.45,-.42,-.44,-.43,-.54,-.49,-.49,-.42,-.57,-.37,-.38,-.23,-.34,-.47,-.47
1904,-.77,-.59,-.40,-.49,-.43,-.47,-.58,-.53,-.63,-.38,-.08,-.34,-.47,-.49,-.64,-.44,-.53,-.36
1905,-.40,-.82,-.22,-.43,-.28,-.26,-.21,-.23,-.18,-.24,.10,-.17,-.28,-.29,-.52,-.31,-.23,-.11
1906,-.54,-.54,-.19,.05,-.23,-.11,-.26,-.16,-.23,-.17,-.39,.04,-.23,-.25,-.42,-.12,-.18,-.26
1907,-.58,-.72,-.31,-.46,-.57,-.50,-.39,-.38,-.39,-.20,-.57,-.59,-.47,-.42,-.42,-.45,-.42,-.39
